AtomicNumber,Symbol,Name,AtomicMass,CovalentRadius,ElectronegativityPauling,Group,Period
88,Ra,Radium,226,2.21,0.90,2,7
89,Ac,Actinium,227,2.15,1.10,3,7
90,Th,Thorium,232.04,2.06,1.30,102,7
91,Pa,Protactinium,231.04,2.00,1.50,102,7
92,U,Uranium,238.03,1.96,1.38,102,7
93,Np,Neptunium,237,1.90,1.36,102,7
94,Pu,Plutonium,244,1.87,1.28,102,7
95,Am,Americium,243,1.80,1.30,102,7
96,Cm,Curium,247,1.69,1.30,102,7
97,Bk,Berkelium,247,1.70,1.30,102,7
98,Cf,Californium,251,1.70,1.30,102,7
99,Es,Einsteinium,252,1.70,1.30,102,7
100,Fm,Fermium,257,1.70,1.30,102,7
101,Md,Mendelevium,258,1.70,1.30,102,7
102,No,Nobelium,259,1.70,1.30,102,7
103,Lr,Lawrencium,266,1.70,1.30,3,7
104,Rf,Rutherfordium,267,,1.30,4,7
105,Db,Dubnium,268,,1.30,5,7
106,Sg,Seaborgium,269,,1.30,6,7
107,Bh,Bohrium,270,,1.30,7,7
108,Hs,Hassium,277,,1.30,8,7
109,Mt,Meitnerium,278,,1.30,9,7
110,Ds,Darmstadtium,281,,1.30,10,7
111,Rg,Roentgenium,282,,1.30,11,7
112,Cn,Copernicium,285,,1.30,12,7
113,Nh,Nihonium,286,,1.30,13,7
114,Fl,Flerovium,289,,1.30,14,7
115,Mc,Moscovium,290,,1.30,15,7
116,Lv,Livermorium,293,,1.30,16,7
117,Ts,Tennessine,294,,1.30,17,7
118,Og,Oganesson,294,,1.30,18,7
